iter	Passed	Remaining
0	1	112
1	2	112
2	3	103
3	3	92
4	4	87
5	5	85
6	6	83
7	7	81
8	7	79
9	8	77
10	9	76
11	10	75
12	11	74
13	11	73
14	12	71
15	13	70
16	14	69
17	14	68
18	15	67
19	16	66
20	17	65
21	18	64
22	18	63
23	19	62
24	20	61
25	21	60
26	22	59
27	22	58
28	23	57
29	24	57
30	25	56
31	25	55
32	26	54
33	27	53
34	28	52
35	29	51
36	29	51
37	31	50
38	32	50
39	32	49
40	33	48
41	34	47
42	34	46
43	35	45
44	36	44
45	37	43
46	38	43
47	38	42
48	39	41
49	40	40
50	41	39
51	42	38
52	42	38
53	43	37
54	44	36
55	45	35
56	46	34
57	46	33
58	47	33
59	48	32
60	49	31
61	49	30
62	50	29
63	51	28
64	52	28
65	53	27
66	53	26
67	54	25
68	55	24
69	56	24
70	57	23
71	57	22
72	58	21
73	59	20
74	60	20
75	61	19
76	61	18
77	62	17
78	63	16
79	64	16
80	64	15
81	65	14
82	66	13
83	67	12
84	68	12
85	68	11
86	69	10
87	70	9
88	71	8
89	72	8
90	72	7
91	73	6
92	74	5
93	75	4
94	76	4
95	76	3
96	77	2
97	78	1
98	79	0
99	79	0
